disciplina,aula,passaram,reprovaram,pct_reprovacao
AMBIENTAÇÃO EM EaD,O que é o EAD?,444,1,0.2
AMBIENTAÇÃO EM EaD,O seu Papel Aluno EAD,445,1,0.2
AMBIENTAÇÃO EM EaD,"Boas Vindas ",450,0,0.0
AMBIENTAÇÃO EM EaD,Organizando seus Estudos,444,0,0.0
AMBIENTAÇÃO EM EaD,Técnicas de Aprendizagem,445,0,0.0
AMBIENTAÇÃO EM EaD,Lendo e Compreendendo Textos,444,0,0.0
AMBIENTAÇÃO EM EaD,Assistindo Vídeos com Eficiência,445,0,0.0
AMBIENTAÇÃO EM EaD,Participando de Atividades,445,0,0.0
AMBIENTAÇÃO EM EaD,Tirando Dúvidas e Buscando Ajuda,445,0,0.0
AMBIENTAÇÃO EM EaD,Dicas Finais e Motivação,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",Boas-vindas à Disciplina,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",O que é um Porto?,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",História dos Portos Brasileiros,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",Tipos de Portos no Brasil,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",Conhecendo os Portos da PortosRio,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",Navios e Embarcações,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",Cargas e Contêiners,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",A Cadeia Logística Portuária,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",Trabalhadores do Porto,445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE","Porto, Cidade e Desenvolvimento",445,0,0.0
"INTRODUÇÃO AO SETOR PORTUÁRIO, CIDADES E MEIO AMBIENTE",Porto e Comunidade,445,0,0.0
